TVST;19/11/2001;31/03/2002;;France;Généraliste;CanalSatellite;Non;Chaîne entièrement sous-titrée destinée aux personnes sourdes et malentendantes;;
Télé Bocal;2004;2012;;France;Généraliste;ADSL;Oui;Source : Univers Freebox. Chaîne nationale associative diffusée sur Freebox TV.;;
Télé Luxembourg;23/01/1955;03/09/1982;;Luxembourg;Généraliste;CLT;Hertzien;Oui;Devient RTL Télévision;
Télé Maison;2009;2015;;France;Art de vivre;ADSL,IPTV;Oui;Source : Univers Freebox, KingOfSat;;
Télé Melody;1993;31/12/1997;;France;Musique;Câble;Non;Devient Melody. Source : archives presse, KingOfSat;;
Télé Monte-Carlo;19/11/1954;22/03/2009;;Monaco;Généraliste;TMC Monte Carlo, TF1 (2005-);Hertzien,Câble,Satellite,TNT,IPTV;Oui;Nom commercial utilisé jusqu'au renommage;
Téléachat;;;;;;;;;;
Téléshopping;1987;;;France;Téléachat;Groupe TF1;TNT,Câble,Satellite,IPTV;Oui;;
Télétoon;17/12/1996;31/12/2016;;France;Jeunesse;TPS puis Groupe Canal+;Câble,Satellite,IPTV;Non;;
Télétoon 1;2005;2011;;France;Jeunesse;Groupe Canal+;Satellite;Non;Canal de multiplex, à vérifier;
Télétoon Ciné;2003;2007;;France;Jeunesse;Satellite;Non;Chaîne événementielle cinéma jeunesse;;
Télétoon+;01/01/2017;;Télétoon;France;Jeunesse;Groupe Canal+;Câble,Satellite,IPTV;Non;;
Télétoon+1;À exclure si la règle des +1 s'applique (probablement déjà ignorée).;Wikipédia;;;;;;;;
Télévision Française;01/10/1944;08/02/1949;;France;Généraliste;RTF;Hertzien;Oui;;
Télévision Suisse Romande;1954;28/02/2012;;Suisse;Institutionnelle;SRG SSR;Hertzien;Oui;Marque institutionnelle, à confirmer si conservée dans la base;
Téva;06/10/1996;;;France;Divertissement;Groupe M6;Câble,Satellite,IPTV;Non;;
Universal Channel;01/02/2010;31/12/2022;Studio Universal;France;Séries;NBCUniversal;Câble,Satellite,IPTV;Non;;
Ushuaïa TV;14/03/2005;;;France;Découverte;Groupe TF1;Câble,Satellite,IPTV;Non;;
VH1 Classic Europe;1999;2020;;Royaume-Uni;Musique;MTV Networks;Satellite,Câble,IPTV;Non;;
VH1 Europe;1995;;;Royaume-Uni;Musique;MTV Networks;Satellite,Câble,IPTV;Non;;
Vice TV;01/03/2024;;Viceland;France;Documentaire;Vice Media;Câble,Satellite,IPTV;Non;;
Viceland;19/11/2016;29/02/2024;;France;Documentaire;Vice Media;Câble,Satellite,IPTV;Non;;
Virgin 17;31/10/2005;31/08/2010;Europe 2 TV;France;Musique;Lagardère Active (2005-2010), Bolloré Média (2010);TNT,Câble,Satellite,IPTV;Oui;;
Vivolta;10/12/2007;31/12/2014;;France;Art de vivre;Vivolta SA;Câble,Satellite,IPTV;Non;;
Voyage;01/09/1996;;France;Découverte;Voyage;Câble,Satellite,IPTV;Non;;;
Voyage HD;2008;2018;;France;Découverte;Fox International Channels;Câble,Satellite;Non;À supprimer en v1.0 (déclinaison HD);
Wikipedia;;;;;;;;;;
XXL;13/09/1995;;;France;Adulte;AB Groupe (1995-2017), Mediawan Thematics (2017-);Câble,Satellite,IPTV;Non;Chaîne à péage;
XXL Germany;1998;2007;;France;Adulte;Satellite;Non;Version francophone européenne. Source : KingOfSat;;
ZIK;15/09/1999;31/07/2005;;France;Musique;Câble,Satellite;Non;Source : KingOfSat, TéléSatellite;;
À la carte;;;;France;Cinéma;Satellite;Non;Service de paiement à la séance, distinct de Kiosque.;Wiki CSAT;
À la une;2001;;;France;Services;Satellite,IPTV;Oui;Chaîne de service présentant une sélection de programmes du bouquet;;
Équidia Life;20/09/2007;30/08/2018;Équidia;France;Sport;Câble,Satellite,IPTV;Non;Déclinaison éditoriale d'Équidia. Source : KingOfSat;;
Équidia Live;20/09/2007;;;France;Sport;Câble,Satellite,IPTV;Non;Déclinaison éditoriale d'Équidia. Source : KingOfSat;;
